common_events_to_include,stage_name,smau,group_name,gmau,section_name,is_umau
action,manage,FALSE,manage,FALSE,dev,TRUE
action_monthly_active_users_design_management,create,FALSE,product_planning,FALSE,dev,FALSE
action_monthly_active_users_project_repo,create,TRUE,source_code,TRUE,dev,FALSE
action_monthly_active_users_wiki_repo,create,FALSE,editor,FALSE,dev,FALSE
api_fuzzing_build_run,secure,TRUE,dynamic_analysis,FALSE,sec,FALSE
boards,plan,FALSE,project_management,FALSE,dev,FALSE
ci_pipeline_creation,verify,TRUE,pipeline_execution,TRUE,ops,FALSE
ci_pipeline_schedules,verify,FALSE,pipeline_execution,FALSE,ops,FALSE
ci_stages,configure,FALSE,configure,FALSE,ops,FALSE
ci_triggers,verify,FALSE,pipeline_execution,FALSE,ops,FALSE
container_scanning_build_run,protect,TRUE,container_security,TRUE,sec,FALSE
dast_build_run,secure,TRUE,dynamic_analysis,TRUE,sec,FALSE
dependency_scanning_build_run,secure,TRUE,composition_analysis,TRUE,sec,FALSE
deployment_creation,release,TRUE,release,FALSE,ops,FALSE
environments,release,FALSE,release,FALSE,ops,FALSE
epic_creation,plan,FALSE,product_planning,TRUE,dev,FALSE
epic_notes,plan,FALSE,product_planning,TRUE,dev,FALSE
incident_labeled_issues,monitor,FALSE,monitor,FALSE,ops,FALSE
issue_creation_other,plan,TRUE,project_management,TRUE,dev,FALSE
issue_note_creation,plan,TRUE,project_management,TRUE,dev,FALSE
issue_resource_label_events,plan,FALSE,project_management,FALSE,dev,FALSE
issue_resource_milestone_events,plan,FALSE,project_management,FALSE,dev,FALSE
issue_resource_weight_events,plan,FALSE,project_management,FALSE,dev,FALSE
labels,plan,FALSE,project_management,FALSE,dev,FALSE
license_scanning_build_run,secure,TRUE,composition_analysis,FALSE,sec,FALSE
merge_request_creation,create,FALSE,code_review,TRUE,dev,FALSE
merge_request_note_creation,create,FALSE,code_review,TRUE,dev,FALSE
milestones,plan,FALSE,project_management,FALSE,dev,FALSE
notes_other,plan,FALSE,project_management,FALSE,dev,FALSE
other_ci_build_creation,verify,FALSE,pipeline_execution,FALSE,ops,FALSE
package_creation,package,FALSE,package,FALSE,ops,FALSE
project_auto_devops,configure,FALSE,configure,FALSE,ops,FALSE
projects_prometheus_active,monitor,FALSE,monitor,FALSE,ops,FALSE
push_action,create,FALSE,source_code,FALSE,dev,FALSE
release_creation,release,FALSE,release,TRUE,ops,FALSE
requirement_creation,plan,FALSE,certify,TRUE,dev,FALSE
sast_build_run,secure,TRUE,static_analysis,TRUE,sec,FALSE
secret_detection_build_run,secure,TRUE,static_analysis,FALSE,sec,FALSE
integrations,ecosystem,FALSE,integrations,FALSE,dev,FALSE
snippets,create,FALSE,editor,FALSE,dev,FALSE
successful_ci_pipeline_creation,verify,FALSE,pipeline_execution,FALSE,ops,FALSE
terraform_reports,configure,FALSE,configure,FALSE,ops,FALSE
todos,plan,FALSE,project_management,FALSE,dev,FALSE
users_created,manage,FALSE,access,FALSE,dev,FALSE