LEGACY_DOTCOM_EVENT_NAME,PREP_EVENT_NAME
action_monthly_active_users_design_management,action_monthly_active_users_design_management
action_monthly_active_users_project_repo,action_monthly_active_users_project_repo
action_monthly_active_users_wiki_repo,action_monthly_active_users_wiki_repo
api_fuzzing,api_fuzzing_build_run
boards,boards
ci_builds,other_ci_build_creation
ci_pipeline_schedules,ci_pipeline_schedules
ci_pipelines,ci_pipeline_creation
ci_stages,ci_stages
ci_triggers,ci_triggers
container_scanning,container_scanning_build_run
dast,dast_build_run
dependency_scanning,dependency_scanning_build_run
deployments,deployment_creation
environments,environments
epic_notes,epic_notes
epics,epic_creation
events,action
incident_labeled_issues,incident_labeled_issues
issue_notes,issue_note_creation
issue_resource_label_events,issue_resource_label_events
issue_resource_milestone_events,issue_resource_milestone_events
issue_resource_weight_events,issue_resource_weight_events
issues,issue_creation_other
labels,labels
license_scanning,license_scanning_build_run
merge_request_notes,merge_request_note_creation
merge_requests,merge_request_creation
milestones,milestones
notes,notes_other
packages,package_creation
project_auto_devops,project_auto_devops
projects_prometheus_active,projects_prometheus_active
push_events,push_action
releases,release_creation
requirements,requirement_creation
sast,sast_build_run
secret_detection,secret_detection_build_run
secure_stage_ci_jobs,
services,integrations
snippets,snippets
successful_ci_pipelines,successful_ci_pipeline_creation
terraform_reports,terraform_reports
todos,todos
users,users_created