event_name,stage_name,section_name,is_smau,is_umau
action,manage,NULL,FALSE,TRUE
issue_creation,plan,dev,TRUE,FALSE
issue_note_creation,plan,dev,TRUE,FALSE
ci_pipeline_creation,verify,ops,TRUE,FALSE
successful_ci_pipeline_creation,verify,ops,TRUE,FALSE
deployment_creation,release,ops,TRUE,FALSE
secure_ci_build_creation,secure,secure_protect,TRUE,FALSE
container_scanning_build_run,protect,secure_protect,TRUE,FALSE
package_creation,package,ops,TRUE,FALSE
push_action,create,dev,TRUE,FALSE
action_monthly_active_users_project_repo,create,dev,TRUE,FALSE